Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Prdm16	8433	53.36	3534	59.08	113	54.87	4784	49.10
Prdm16	8602	53.31	3825	58.67	113	54.87	4662	48.86
Prdm16	8436	53.37	3537	59.09	113	54.87	4784	49.10
Prdm16	8605	53.32	3828	58.67	113	54.87	4662	48.86
Nrcam	7362	45.97	3561	47.99	541	54.90	3258	42.23
Nrcam	7572	46.02	3771	48.00	541	54.90	3258	42.23
Cmpk1	1880	40.21	684	44.59	94	86.17	1100	33.55
Gprin1	4141	59.33	2799	59.99	353	64.31	987	55.72
Cpne6	2218	57.03	1674	56.39	288	67.71	254	48.82
Cpne6	2192	57.12	1671	56.43	265	69.06	254	48.82
Cpne6	2021	55.57	1674	56.39	91	58.24	254	48.82
Hnrnpl	2142	53.41	1761	56.67	20	80.00	359	35.93
Hnrnpm	2415	51.30	2073	53.26	78	67.95	262	30.92
Hnrnpm	2532	51.07	2190	52.88	78	67.95	262	30.92
Snca	1304	47.16	423	51.54	306	61.11	573	36.30
Snca	1208	43.63	423	51.54	210	47.14	573	36.30
Cadps	5475	49.02	4068	50.66	340	69.12	1065	36.34
Cadps	5478	49.14	4086	50.64	340	69.12	1050	36.86
Anxa6	2643	53.95	2004	52.79	138	66.67	499	55.11
Anxa6	2661	53.96	2022	52.82	138	66.67	499	55.11
Rpl36	425	58.12	318	61.32	55	65.45	50	30.00
Rhoq	4159	46.60	618	48.71	494	82.59	3045	40.30
Prpf40a	3565	41.07	2862	42.98	3564	41.08	702	33.33
Nefl	2014	56.50	1632	58.95	78	70.51	302	39.40
Sept7	2530	39.49	1311	40.27	199	73.37	1018	31.83
Sept7	2533	39.48	1314	40.26	199	73.37	1018	31.83
Lrrc59	2810	52.60	924	58.23	180	75.00	1704	47.12
Kctd12	6076	45.05	984	68.90	196	75.00	4894	39.03
Ogdh	6675	50.49	3117	52.39	122	64.75	3434	48.28
Ogdh	6663	50.32	3105	52.05	122	64.75	3434	48.28
Ogdh	6706	50.79	3072	52.54	198	67.68	3434	48.28
Ogdh	6678	50.09	3060	52.19	182	49.45	3434	48.28
Ogdh	6630	50.54	3072	52.54	122	64.75	3434	48.28
D10Jhu81e	1363	57.45	801	59.05	38	60.53	522	54.79
Scamp1	3605	41.75	1017	50.44	4	100.00	2582	38.23
Pygb	3860	53.99	2532	54.98	71	64.79	1255	51.39
Psma1	1255	43.27	792	44.95	112	64.29	349	32.66
Pin1	3808	52.42	498	58.03	9	55.56	3299	51.53
Fam98b	1861	46.96	1290	50.93	28	53.57	541	37.15
Dnajc6	5220	46.76	2907	53.29	74	55.41	2237	38.00
Dnajc6	5165	45.92	2817	52.04	109	51.38	2237	38.00
Dnajc6	5230	45.93	2703	52.13	288	49.31	2237	38.00
Dnajc6	5139	46.43	2703	52.13	197	63.96	2237	38.00
Krt17	1532	57.96	1302	59.14	23	69.57	205	48.78
Krt14	1680	57.02	1455	58.56	54	55.56	169	44.38
Cltb	1576	54.19	636	60.06	7	71.43	931	49.95
Sncb	1210	59.59	402	57.21	144	70.83	662	58.46
Tubb4a	2246	56.77	1335	57.60	268	64.18	641	51.79
Cndp2	2169	53.85	1428	54.76	161	55.90	578	50.87
Cndp2	2137	54.70	1428	54.76	129	70.54	578	50.87
Dpysl5	5077	55.21	1695	57.17	278	61.51	3102	53.58
Dpysl3	5252	48.25	1707	53.60	173	46.24	3370	45.61
Dpysl3	5502	49.95	2052	56.43	78	65.38	3370	45.61
Dpysl3	5433	49.46	1713	53.88	348	64.66	3370	45.61
Ppp5c	2084	56.00	1500	55.20	100	73.00	482	54.77
Eef1d	1707	51.08	846	54.26	103	59.22	756	46.56
Eef1d	1707	51.32	846	54.26	103	63.11	756	46.56
Eef1d	1635	51.01	774	54.39	103	59.22	756	46.56
Eef1d	1638	51.28	774	54.39	106	63.21	756	46.56
Eef1d	1635	51.25	774	54.39	103	63.11	756	46.56
Eef1d	1692	51.83	831	55.35	103	63.11	756	46.56
Eef1d	1710	51.35	846	54.26	106	63.21	756	46.56
Eef1d	2855	56.01	1983	59.25	114	63.16	756	46.56
Napb	3693	44.90	897	48.49	56	62.50	2738	43.35
Iqsec1	4526	56.39	2886	58.04	256	75.39	1382	49.35
Iqsec1	6490	55.29	3300	59.15	332	57.53	2856	50.56
Hspa12a	5733	49.35	2028	55.82	94	62.77	3609	45.36
Alyref2	1273	50.59	657	58.75	178	58.43	436	35.09
Gng3	1699	53.62	228	53.95	256	54.30	1213	53.42
Pgam1	1855	52.45	765	57.25	176	69.32	912	45.18
Ppp1r9b	4345	61.38	2454	63.77	335	62.69	1554	57.27
Park7	920	55.54	570	54.04	154	66.23	194	52.06
Camk1d	7108	48.03	1014	51.28	524	73.28	5568	45.04
Camk1d	7183	47.93	1089	50.41	524	73.28	5568	45.04
Camk1d	6742	45.88	1134	49.82	64	50.00	5542	45.00
Camk1d	7226	47.92	1158	50.35	524	73.28	5542	45.00
Gstm1	1310	52.90	657	51.75	197	53.30	454	54.19
Lap3	2267	47.64	1560	52.18	85	77.65	620	32.10
Myl6	656	49.85	456	53.95	13	61.54	185	38.38
Basp1	1855	56.44	681	74.16	221	72.40	951	39.96
Dbi	593	49.24	408	51.47	4	50.00	179	44.13
Dbi	587	49.57	264	48.11	142	59.86	179	44.13
Ndufv1	1608	56.47	1395	55.91	132	67.42	79	46.84
Ppp1cb	4024	39.24	984	42.58	385	71.69	2653	33.28
Hsp90b1	2759	43.13	2409	43.17	88	64.77	260	35.38
Syngap1	4023	59.46	4023	59.46	4022	59.45	0	0.00
Fkbp3	945	41.48	675	42.96	15	66.67	253	35.97
Sv2a	3920	54.46	2229	55.68	423	56.50	1266	51.58
Sv2b	5341	45.50	2052	50.00	563	44.23	2724	42.36
Sv2b	5548	46.58	2052	50.00	770	52.34	2724	42.36
Nucb1	2639	56.08	1380	58.33	95	55.79	1162	53.36
Nucb1	2627	56.07	1368	58.33	95	55.79	1162	53.36
Pak3	8242	38.79	1743	45.50	26	46.15	6471	36.96
Pak3	8197	38.68	1698	45.17	26	46.15	6471	36.96
Pak3	8352	39.10	1680	45.36	199	56.28	6471	36.96
Pak3	8616	38.92	1635	45.02	508	44.29	6471	36.96
Pak3	8225	38.67	1635	45.02	117	45.30	6471	36.96
Nebl	2980	43.49	813	50.06	206	71.84	1959	37.83
Cstf2t	3764	47.16	1899	55.45	224	54.91	1639	36.49
Ptprz1	8068	44.52	6939	45.19	324	65.12	803	30.26
Ptprd	9127	43.02	4527	46.32	878	56.95	3720	35.70
Crmp1	3103	56.07	2061	57.84	86	80.23	954	50.00
Crmp1	2968	54.72	1719	54.45	293	71.33	954	50.00
Ptbp2	3364	40.61	1599	43.71	178	73.03	1585	33.82
Bdh1	3133	52.47	1032	54.75	277	65.34	1822	49.23
Bdh1	3114	51.61	1032	54.75	258	55.81	1822	49.23
Spon1	6166	49.72	2424	56.48	330	65.76	3410	43.37
H1f0	2304	54.12	585	56.58	509	72.89	1208	45.03
Abi2	4821	43.12	1464	51.09	183	69.95	3172	37.89
Abi2	5892	42.67	1443	50.17	183	69.95	4264	38.95
Abi2	5790	42.49	1341	49.96	183	69.95	4264	38.95
Prdx6	2334	47.13	675	52.00	49	67.35	1608	44.40
Abi1	3505	40.74	1446	48.82	175	65.14	1882	32.31
Abi1	3400	40.24	1341	48.17	175	65.14	1882	32.31
Abi1	3226	39.74	1167	47.99	175	65.14	1882	32.31
Abi1	3487	40.69	1428	48.81	175	65.14	1882	32.31
Abi1	3490	40.72	1431	48.85	175	65.14	1882	32.31
Prdx3	1445	45.26	774	48.45	70	61.43	599	39.07
Rps4x	885	47.12	792	47.60	5	80.00	86	40.70
Ranbp1	852	51.53	612	49.67	131	77.10	107	30.84
Add1	3917	53.51	2208	52.76	219	75.34	1488	51.48
Add1	4047	53.45	1992	51.26	219	75.34	1834	53.22
Add1	3954	53.46	1899	51.18	219	75.34	1834	53.22
Cdkn1b	2405	45.70	594	58.42	518	60.81	1291	33.77
Ncs1	4036	53.99	573	52.53	255	83.14	3206	51.93
Calu	3046	44.88	495	47.88	378	50.79	2171	43.11
Calu	3229	45.03	948	46.94	108	65.74	2171	43.11
Calu	3229	44.78	948	46.10	108	65.74	2171	43.11
Dlg3	4959	51.80	2508	53.67	349	72.49	2100	46.14
Dlg3	3956	49.29	1539	50.03	315	66.67	2100	46.14
Dlg3	3348	47.16	1101	47.05	145	63.45	2100	46.14
Dlg3	4905	51.60	2454	53.30	349	72.49	2100	46.14
Dlg3	5001	51.81	2550	53.65	349	72.49	2100	46.14
Zfp326	2672	43.41	1743	47.05	114	75.44	813	31.00
Chgb	2733	54.04	2034	53.15	455	65.93	242	38.84
Sptb	10417	56.88	6990	56.85	666	67.57	2759	54.33
Atp6v1e1	1219	48.07	681	46.40	64	60.94	472	48.52
Fabp5	950	44.95	405	50.86	54	66.67	489	37.42
Fabp5	796	43.34	222	53.15	54	66.67	518	36.49
Fabp5	969	44.27	408	50.98	54	66.67	505	36.24
Dctn2	1924	56.08	1215	54.57	236	70.76	471	52.44
Dctn2	1933	55.98	1224	54.41	236	70.76	471	52.44
Dctn2	1918	56.05	1209	54.51	236	70.76	471	52.44
Ube2v2	5766	36.47	312	43.27	42	64.29	5410	35.84
Ube2v2	5892	36.39	438	40.18	42	64.29	5410	35.84
Dctn4	3714	45.45	1383	50.83	9	55.56	2320	42.20
Rps21	396	51.52	252	53.57	81	61.73	61	27.87
Snx1	2079	50.31	1566	51.66	120	62.50	391	40.92
Wipf3	4204	54.09	1452	64.39	4203	54.10	2751	48.64
Wipf3	4102	54.29	1350	65.78	4101	54.30	2751	48.64
Rasal1	3259	60.72	1854	61.76	822	61.68	581	55.94
Rasal1	3235	60.34	2400	61.08	252	63.10	581	55.94
Actr3	2554	43.97	1257	44.95	206	74.76	1089	37.01
Actr3	2551	43.94	1257	44.95	203	74.88	1089	37.01
Actr3	2746	45.85	1257	44.95	398	72.86	1089	37.01
Efhd2	2381	56.91	723	61.69	52	84.62	1604	53.80
Hadhb	2092	45.41	1428	46.50	141	60.99	521	38.20
Hadhb	2088	45.35	1428	46.50	137	60.58	521	38.20
Hadhb	2045	45.09	1428	46.50	94	61.70	521	38.20
Cdc37	2456	53.75	1140	56.75	48	77.08	1266	50.08
Ndufs5	540	49.81	321	52.34	75	69.33	142	33.10
Mag	2427	57.68	1749	58.38	149	48.99	527	57.69
Lxn	1092	50.64	669	48.58	192	64.58	229	44.98
Atp6v1b2	2742	49.42	1536	50.33	56	69.64	1148	47.21
Bsg	1404	57.62	822	56.33	159	73.58	421	53.92
Bsg	1752	58.90	1170	58.63	159	73.58	421	53.92
Ncam2	3590	43.62	2514	44.31	216	70.83	858	34.62
Ncam2	4893	38.83	2184	44.60	216	70.83	2491	30.99
Rps10	573	55.67	498	56.43	38	73.68	35	25.71
Ndufb7	533	59.66	414	60.87	60	58.33	57	50.88
Rps19	629	59.94	438	56.16	155	75.48	34	38.24
Ndufb4	454	49.12	390	51.03	8	50.00	54	33.33
Nras	4470	42.62	570	48.77	172	63.37	3726	40.74
Cdc42ep4	2960	57.47	1050	62.00	229	67.25	1679	53.25
Cdc42ep4	3263	57.80	1050	62.00	532	63.72	1679	53.25
Adap1	2418	59.47	1125	57.60	101	86.14	1190	58.91
