Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Pdhx	2527	45.63	1506	50.73	63	60.32	956	36.51
Dhx9	4623	44.45	4152	45.06	149	59.06	320	29.38
H2afv	1636	47.25	387	55.56	103	81.55	1144	41.26
Usmg5	370	39.19	177	40.68	61	55.74	130	29.23
Nfu1	968	48.55	771	50.71	64	60.94	131	29.77
Nfu1	965	48.60	768	50.78	64	60.94	131	29.77
Poldip3	3249	53.34	1263	55.19	82	73.17	1902	51.21
Dclk1	6956	44.55	1302	51.54	305	56.39	5347	42.17
Dclk1	7030	44.57	1269	50.59	305	56.39	5454	42.48
Dclk1	6026	40.66	1092	54.12	245	66.12	4687	36.19
Dclk1	7817	45.87	2223	52.54	245	66.12	5347	42.17
Dclk1	7004	44.66	1350	51.85	305	56.39	5347	42.17
Dclk1	5175	37.93	171	54.97	305	56.39	4697	36.11
Dclk1	7865	45.96	2271	52.71	245	66.12	5347	42.17
Vgf	2553	64.83	1854	65.53	186	67.74	511	61.06
Atp6v1h	1976	42.61	1452	43.66	139	61.87	383	31.33
H2afz	1069	48.36	387	53.75	206	66.02	474	36.08
Specc1	6749	52.32	2937	51.62	172	71.51	3638	51.98
Specc1	6966	52.40	3177	52.16	149	67.79	3638	51.98
Fam103a1	1423	38.51	360	45.28	130	54.62	931	33.62
Purb	8478	42.88	975	71.49	189	86.24	7312	37.94
Oat	2155	47.24	1320	50.30	139	62.59	694	38.18
Napa	2332	53.64	888	53.94	33	72.73	1409	52.95
Phf5a	1648	45.81	333	48.65	27	59.26	1286	44.87
Mrfap1	1630	50.92	378	69.05	160	64.38	1090	42.57
Pdcd5	642	50.47	381	46.46	110	76.36	149	40.94
Phactr1	5350	51.33	1929	55.21	40	67.50	3379	48.92
Phactr1	3849	49.94	435	51.26	76	59.21	3336	49.55
Phactr1	5682	50.79	1950	54.51	351	47.86	3379	48.92
Bag4	4798	43.56	1374	56.26	37	78.38	3385	38.02
2010300C02Rik	4361	57.60	3528	57.28	251	79.68	580	50.00
Qdpr	1394	52.51	726	57.16	126	65.08	540	43.15
Dnajb1	2284	53.50	1023	53.96	156	73.08	1103	50.23
Rpl32	504	50.40	408	51.72	50	58.00	44	29.55
Mkl2	8281	49.91	3276	53.66	170	55.88	4833	47.15
Mkl2	8295	49.73	3243	53.35	217	52.53	4833	47.15
Mkl2	717	41.42	309	50.81	106	43.40	300	31.00
Nav1	12767	50.98	5628	57.71	34	70.59	7103	45.54
Slc3a2	2813	53.39	1698	56.65	273	57.14	840	45.71
Slc3a2	2572	53.11	1581	55.98	149	64.43	840	45.71
Ndufs2	1606	53.67	1392	53.74	23	56.52	189	52.38
H3f3a	1076	44.24	411	51.58	155	63.87	508	32.09
Stam	3720	40.19	1647	45.96	184	70.65	1887	32.11
Rbm39	2803	43.13	1575	43.05	364	65.38	862	33.99
Rbm39	2598	41.15	1575	43.05	159	61.64	862	33.99
Rbm39	2821	43.00	1593	42.81	364	65.38	862	33.99
Gmps	4567	40.25	2082	42.27	140	66.43	2343	36.88
Neurod2	3137	58.75	1152	66.67	216	65.28	1767	52.74
