Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Pcx	4148	57.74	3540	57.77	143	65.03	463	55.51
Pcx	4125	57.41	3537	57.79	123	53.66	463	55.51
Nrcam	7362	45.97	3561	47.99	541	54.90	3258	42.23
Nrcam	7572	46.02	3771	48.00	541	54.90	3258	42.23
Dlst	2767	51.36	1365	52.53	63	73.02	1337	49.07
Gprin1	4141	59.33	2799	59.99	353	64.31	987	55.72
Psap	2667	54.33	1665	55.02	114	64.04	886	51.81
Psap	2673	54.32	1671	55.00	114	64.04	886	51.81
Psap	2664	54.32	1662	54.99	114	64.04	886	51.81
Psap	2640	54.39	1638	55.13	114	64.04	886	51.81
Psap	2583	53.70	1656	54.89	39	46.15	886	51.81
Psap	2676	54.33	1674	55.02	114	64.04	886	51.81
Usp5	3176	55.60	2577	55.26	51	60.78	546	56.59
Nfasc	9406	53.73	3570	55.97	89	67.42	5745	52.11
Nfasc	9597	54.01	3525	55.97	325	65.85	5745	52.11
Nfasc	9647	53.92	3474	56.19	426	59.62	5745	52.11
Nfasc	9795	54.03	3723	55.92	325	65.85	5745	52.11
Snca	1304	47.16	423	51.54	306	61.11	573	36.30
Snca	1208	43.63	423	51.54	210	47.14	573	36.30
Ctbp1	2302	56.78	1323	58.81	185	81.62	792	47.60
Ctbp1	2495	56.51	1290	58.53	411	67.40	792	47.60
Ctbp1	2498	56.53	1293	58.55	411	67.40	792	47.60
Ctbp1	2305	56.79	1326	58.82	185	81.62	792	47.60
Tmod2	9957	42.93	1056	50.76	432	46.53	8467	41.77
Tmod2	9893	43.76	1056	50.76	368	69.29	8467	41.77
Hnrnpa3	5176	39.78	1074	45.72	58	55.17	4042	38.00
Hnrnpa3	5242	40.29	1140	47.72	58	55.17	4042	38.00
Hnrnpa3	2639	43.12	1140	47.72	58	55.17	1439	39.05
Eef1a2	2111	58.74	1392	56.82	366	66.67	351	58.40
Sumo2	998	42.38	288	45.83	111	69.37	597	35.68
Ctsd	1979	53.87	1233	52.88	65	61.54	679	54.79
Wdr13	4199	51.63	1182	59.81	772	60.36	2243	44.32
Wdr13	4233	51.64	1458	59.81	530	60.19	2243	44.32
Wdr13	4485	51.51	1182	59.81	1058	57.47	2243	44.32
Sfpq	3500	49.83	2100	58.33	115	61.74	1283	34.92
Syp	2482	56.24	945	58.41	112	75.89	1423	53.27
Matr3	4472	38.37	2541	42.38	315	46.35	1614	30.48
Nefl	2014	56.50	1632	58.95	78	70.51	302	39.40
Cox6b1	505	52.28	261	53.26	108	53.70	134	48.51
Sh3gl2	2817	47.75	1059	50.80	120	78.33	1636	43.46
Snx1	2079	50.31	1566	51.66	120	62.50	391	40.92
Kif5c	6867	47.28	2871	51.17	347	73.78	3647	41.71
Ehd3	3658	52.21	1608	54.66	401	62.34	1647	47.36
D10Jhu81e	1363	57.45	801	59.05	38	60.53	522	54.79
Aldh6a1	3346	42.65	1608	49.25	10	70.00	1726	36.33
Psma1	1255	43.27	792	44.95	112	64.29	349	32.66
Phgdh	1871	57.40	1602	57.68	136	59.56	131	51.91
Gdi1	2657	50.81	1344	49.26	384	60.42	927	49.08
Uqcrb	503	40.76	336	42.86	38	55.26	127	31.50
Thy1	1753	55.22	489	55.42	117	63.25	1145	54.24
Cttn	3112	53.12	1530	53.99	340	60.00	1240	50.08
Cttn	3223	53.09	1641	53.87	340	60.00	1240	50.08
Atp5b	1879	51.25	1590	53.14	19	68.42	268	38.43
Dnajc6	5220	46.76	2907	53.29	74	55.41	2237	38.00
Dnajc6	5165	45.92	2817	52.04	109	51.38	2237	38.00
Dnajc6	5230	45.93	2703	52.13	288	49.31	2237	38.00
Dnajc6	5139	46.43	2703	52.13	197	63.96	2237	38.00
Calb2	1462	52.33	816	50.00	68	64.71	576	54.17
Ncam1	6192	48.82	2547	53.95	339	59.88	3304	43.77
Ncam1	6993	50.16	3348	55.53	339	59.88	3304	43.77
Ncam1	4885	51.26	2178	53.58	339	59.88	2366	47.93
Rab2a	2057	44.09	639	44.91	218	76.61	1198	37.65
Rab2b	2770	45.74	651	49.92	153	56.21	1964	43.53
Atp5h	574	50.17	486	49.18	36	63.89	50	50.00
Cst3	748	54.81	423	57.68	90	50.00	233	51.07
Wdr7	7109	48.25	4470	51.28	237	61.60	2400	41.25
Dpysl2	4451	47.67	1719	55.56	231	40.26	2499	42.94
Dpysl3	5252	48.25	1707	53.60	173	46.24	3370	45.61
Dpysl3	5502	49.95	2052	56.43	78	65.38	3370	45.61
Dpysl3	5433	49.46	1713	53.88	348	64.66	3370	45.61
Actn4	3859	54.47	2739	56.44	96	73.96	1022	47.36
Ppp5c	2084	56.00	1500	55.20	100	73.00	482	54.77
Elavl1	6030	43.48	981	48.93	230	75.65	4817	40.83
Eno1	1831	53.85	1305	55.25	152	59.21	372	46.77
Eno2	2811	54.54	1305	55.71	251	72.51	1253	49.72
Rpl17	775	47.23	555	47.93	79	56.96	139	38.85
Atp1a3	3609	58.05	3042	57.00	176	76.70	389	57.58
Rpl11	594	51.68	537	53.26	17	52.94	38	28.95
Atp1a1	3720	54.22	3072	53.12	292	73.29	354	47.74
Rpl13	794	56.05	636	58.18	101	59.41	55	25.45
Iqsec1	4526	56.39	2886	58.04	256	75.39	1382	49.35
Iqsec1	6490	55.29	3300	59.15	332	57.53	2856	50.56
Crym	1256	53.34	942	55.73	63	60.32	249	42.17
