Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Apoe	1266	60.58	936	62.50	178	62.36	150	46.00
Psip1	1903	44.56	996	42.07	313	76.68	592	31.76
Psip1	3255	42.18	1587	41.97	313	76.68	1353	34.37
Hpcal4	4652	50.80	576	55.03	231	65.37	3843	49.28
Gabarapl2	996	45.88	354	49.72	115	69.57	525	37.90
Lrpap1	2922	52.40	1083	55.49	5	40.00	1832	50.55
Hnrnpu	3670	47.36	2403	50.65	212	71.70	1053	34.95
Zfp207	2376	44.49	1488	48.12	175	53.14	711	34.88
Zfp207	2328	44.63	1440	48.47	175	53.14	711	34.88
Zfp207	2283	44.50	1395	48.39	175	53.14	711	34.88
Zfp207	2271	44.43	1383	48.30	175	53.14	711	34.88
Hnrnpf	2297	46.36	1248	50.72	414	55.56	633	31.75
Hnrnpf	2236	45.89	1248	50.72	353	54.11	633	31.75
Hnrnpf	2197	45.70	1248	50.72	314	53.82	633	31.75
Hnrnpf	2548	48.78	1248	50.72	665	61.35	633	31.75
Hnrnpf	2487	49.01	1248	50.72	604	63.58	633	31.75
Hnrnpf	2288	44.97	1248	50.72	405	47.90	633	31.75
Hnrnpf	2179	45.07	1248	50.72	296	49.66	633	31.75
Ppfia2	6454	43.18	3774	46.56	283	51.94	2395	36.83
Ppfia2	6451	43.17	3771	46.54	283	51.94	2395	36.83
Nme2	747	55.02	459	55.12	162	67.90	124	37.90
Nme2	1027	55.31	459	55.12	434	61.52	132	35.61
Ndufs1	2936	45.88	2184	45.05	503	57.46	247	29.15
Ndufs1	2778	45.14	2184	45.05	345	56.81	247	29.15
Ndufs1	2832	45.76	2184	45.05	399	59.65	247	29.15
Ndufs1	2674	44.99	2184	45.05	241	60.17	247	29.15
Nova2	8372	56.32	1479	68.76	191	84.29	6700	52.76
Hnrnpa0	2678	55.38	918	71.79	242	81.82	1516	41.23
Ubqln1	3693	47.93	1749	53.06	216	78.70	1726	38.82
Ubqln1	3609	48.07	1665	53.63	216	78.70	1726	38.82
Bsn	15953	59.71	11829	62.34	124	80.65	3998	51.28
Hsp90ab1	2507	51.06	2175	51.08	94	64.89	236	45.34
Homer1	4768	39.87	1065	46.38	802	50.62	2899	34.53
Homer1	2136	42.09	561	44.03	802	50.62	771	31.78
Homer1	4804	40.03	1101	46.87	802	50.62	2899	34.53
Homer1	4287	37.77	1113	46.36	273	37.36	2899	34.53
Rnf214	3782	51.14	2007	50.92	532	72.37	1241	42.39
Ctss	1360	45.88	1026	48.34	113	47.79	219	33.33
Ctss	1357	45.84	1023	48.29	113	47.79	219	33.33
Eef2	3126	56.56	2577	57.28	95	66.32	452	50.22
