Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Shank1	7596	62.89	6504	63.61	75	76.00	1015	57.34
Ppfia2	6454	43.18	3774	46.56	283	51.94	2395	36.83
Ppfia2	6451	43.17	3771	46.54	283	51.94	2395	36.83
2010300C02Rik	4361	57.60	3528	57.28	251	79.68	580	50.00
Rpl32	504	50.40	408	51.72	50	58.00	44	29.55
Homer1	4768	39.87	1065	46.38	802	50.62	2899	34.53
Homer1	2136	42.09	561	44.03	802	50.62	771	31.78
Homer1	4804	40.03	1101	46.87	802	50.62	2899	34.53
Homer1	4287	37.77	1113	46.36	273	37.36	2899	34.53
Ctss	1360	45.88	1026	48.34	113	47.79	219	33.33
Ctss	1357	45.84	1023	48.29	113	47.79	219	33.33
Rbm39	2803	43.13	1575	43.05	364	65.38	862	33.99
Rbm39	2598	41.15	1575	43.05	159	61.64	862	33.99
Rbm39	2821	43.00	1593	42.81	364	65.38	862	33.99
Eef2	3126	56.56	2577	57.28	95	66.32	452	50.22
Tardbp	6495	41.88	897	43.81	329	59.27	5267	40.46
Tardbp	6486	41.87	888	43.81	329	59.27	5267	40.46
Tardbp	6513	41.92	915	44.04	329	59.27	5267	40.46
Tardbp	6425	41.98	909	44.66	329	59.27	5185	40.39
Tardbp	7454	41.75	1245	47.31	329	59.27	5878	39.57
Ddx17	4766	49.48	1953	51.25	496	66.53	2315	44.32
Ddx17	4068	45.40	813	54.00	938	40.62	2315	44.32
Ddx17	2860	46.54	1224	48.77	315	67.62	1319	39.35
Ddx17	4772	49.48	1959	51.25	496	66.53	2315	44.32
Clint1	3398	48.09	1872	51.50	187	81.28	1337	38.67
Slc2a3	3973	49.18	1482	52.56	354	51.98	2135	46.32
Psma6	997	45.74	741	44.40	90	56.67	164	45.73
Agfg1	3137	46.22	1680	49.76	239	81.17	1216	34.38
Igsf8	2256	61.21	1836	62.75	128	75.00	290	45.86
Atp5c1	1815	50.63	825	45.82	813	59.29	175	33.14
Atp5c1	1180	47.29	897	47.27	106	70.75	175	33.14
Usmg5	370	39.19	177	40.68	61	55.74	130	29.23
Vgf	2553	64.83	1854	65.53	186	67.74	511	61.06
Camk2g	3693	51.50	1557	52.54	122	75.41	2012	49.25
