Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Bcan	2685	61.15	1938	61.35	273	74.73	472	52.54
Bcan	3267	61.28	2652	60.90	273	74.73	340	53.53
Dpysl5	5077	55.21	1695	57.17	278	61.51	3102	53.58
Sod2	3824	43.62	669	53.96	206	68.93	2947	39.53
Nebl	2980	43.49	813	50.06	206	71.84	1959	37.83
Cdkn2d	1271	55.78	501	59.68	259	66.80	509	46.37
Nefm	3244	55.06	2547	56.07	190	73.68	505	42.77
Pcdh1	3902	57.02	3117	57.56	229	60.70	554	52.53
Ak1	2106	53.89	585	54.36	150	55.33	1369	53.47
Ak1	2088	54.36	585	54.36	132	62.88	1369	53.47
Ak1	2047	54.13	585	54.36	91	61.54	1369	53.47
Ak1	2065	54.04	633	54.50	61	60.66	1369	53.47
Calu	3046	44.88	495	47.88	378	50.79	2171	43.11
Calu	3229	45.03	948	46.94	108	65.74	2171	43.11
Calu	3229	44.78	948	46.10	108	65.74	2171	43.11
Myef2	2402	46.79	1776	47.30	141	73.76	483	37.06
Myef2	2927	42.54	1653	47.31	141	73.76	1131	31.65
Myef2	2999	42.61	1725	47.25	141	73.76	1131	31.65
Ddt	609	54.68	357	57.14	50	58.00	200	49.00
Rbmxl1	1704	48.42	1167	50.30	234	65.38	301	27.91
Rbmxl1	1750	48.46	1167	50.30	280	62.86	301	27.91
Crmp1	3103	56.07	2061	57.84	86	80.23	954	50.00
Crmp1	2968	54.72	1719	54.45	293	71.33	954	50.00
Hnrnpl	2142	53.41	1761	56.67	20	80.00	359	35.93
Hnrnpm	2415	51.30	2073	53.26	78	67.95	262	30.92
Hnrnpm	2532	51.07	2190	52.88	78	67.95	262	30.92
Wipf3	4204	54.09	1452	64.39	4203	54.10	2751	48.64
Wipf3	4102	54.29	1350	65.78	4101	54.30	2751	48.64
Synpo	4496	57.54	2073	59.29	528	60.42	1893	54.78
Synpo	5012	58.44	2706	62.42	469	66.52	1835	50.52
Hnrnpd	6811	41.68	1068	50.47	313	68.37	5428	38.43
Hnrnpd	6754	41.53	1011	49.95	313	68.37	5428	38.43
Hnrnpd	6607	41.53	864	51.39	313	68.37	5428	38.43
Hnrnpd	6664	41.69	921	51.90	313	68.37	5428	38.43
Efhd2	2381	56.91	723	61.69	52	84.62	1604	53.80
Syngap1	4023	59.46	4023	59.46	4022	59.45	0	0.00
Hist1h4a	455	59.78	312	66.03	91	47.25	50	42.00
Tjp1	6891	46.51	5058	47.57	407	74.94	1424	34.62
Tjp1	7054	46.87	5238	47.86	407	74.94	1407	35.04
Stmn1	1070	50.65	450	53.33	169	60.36	449	44.10
Actg1	1931	50.91	1128	55.50	65	73.85	736	41.98
Rab5c	1587	54.38	651	55.30	140	64.29	794	51.76
Ncald	3538	47.91	582	48.97	302	61.59	2652	46.12
Ncald	3472	47.24	582	48.97	236	55.51	2652	46.12
Ncald	3420	47.22	582	48.97	184	57.61	2652	46.12
Ncald	3728	48.12	582	48.97	492	57.93	2652	46.12
Ubqln2	3343	50.16	1917	57.96	221	72.85	1203	33.58
Eef1a1	1790	47.43	1389	49.75	119	52.10	280	34.29
Hnrnpa1	1975	45.32	1122	49.73	116	56.03	735	36.87
Hnrnpa1	1816	44.16	963	48.29	116	56.03	735	36.87
Cstf2t	3764	47.16	1899	55.45	224	54.91	1639	36.49
Prdx1	1417	42.91	600	42.67	72	56.94	743	41.59
Grin2b	7515	51.20	4449	52.89	762	48.29	2302	48.87
Rph3a	4163	55.68	2046	57.77	434	57.37	1681	52.65
Ndufs5	540	49.81	321	52.34	75	69.33	142	33.10
Napb	3693	44.90	897	48.49	56	62.50	2738	43.35
Pgam1	1855	52.45	765	57.25	176	69.32	912	45.18
Wbp2	1795	55.82	786	57.51	38	65.79	969	54.18
Sept7	2530	39.49	1311	40.27	199	73.37	1018	31.83
Sept7	2533	39.48	1314	40.26	199	73.37	1018	31.83
Ppp1r9b	4345	61.38	2454	63.77	335	62.69	1554	57.27
Fscn1	2667	60.59	1482	62.82	93	66.67	1090	56.97
Uqcrc1	1665	57.12	1443	56.96	70	60.00	150	56.67
Snx3	1377	52.65	489	49.49	276	76.09	610	44.59
Etfa	1464	44.33	1002	45.31	173	69.36	287	25.78
Ndufb8	641	55.54	561	56.86	13	53.85	65	43.08
Serbp1	6667	37.86	1206	51.16	117	68.38	5342	34.16
Serbp1	6640	37.88	1179	51.57	117	68.38	5342	34.16
Serbp1	6622	37.90	1161	51.94	117	68.38	5342	34.16
Serbp1	6685	37.83	1224	50.82	117	68.38	5342	34.16
Stxbp1	4005	53.13	1812	54.03	145	77.93	2046	50.54
Stxbp1	3874	53.25	1785	53.78	140	78.57	1947	50.95
Gatad2b	1912	50.52	1785	50.31	8	62.50	117	52.14
Ubap2l	4073	50.68	3339	51.69	125	58.40	607	43.49
Ubap2l	4033	50.38	3324	51.74	100	47.00	607	43.49
Ubap2l	3745	50.25	3045	51.00	125	58.40	573	44.68
Ubap2l	3720	49.89	3045	51.00	100	47.00	573	44.68
Ubap2l	3652	50.36	2952	51.15	125	58.40	573	44.68
Ubap2l	3627	49.99	2952	51.15	100	47.00	573	44.68
Ubap2l	4070	50.54	3318	51.39	125	58.40	625	44.48
Ubap2l	3956	50.58	3204	51.47	125	58.40	625	44.48
Ablim1	6400	49.66	2106	53.47	316	65.19	3976	46.38
Ablim1	5942	48.89	1638	53.11	326	57.98	3976	46.38
Ablim1	6245	48.97	2193	53.35	74	56.76	3976	46.38
Ablim1	6259	49.46	1965	53.13	316	65.19	3976	46.38
Ablim1	6301	49.45	2007	53.01	316	65.19	3976	46.38
Ablim1	6638	49.53	2586	54.14	74	56.76	3976	46.38
Mdh1	1958	43.11	1005	49.45	201	58.71	750	30.40
Igsf8	2256	61.21	1836	62.75	128	75.00	290	45.86
Rbfox3	3007	58.30	942	57.01	585	65.30	1478	56.36
Rbfox3	4545	58.31	1125	58.31	585	65.30	2833	56.83
Rbfox3	4401	58.10	981	57.39	585	65.30	2833	56.83
Rbfox3	3108	58.66	1083	57.99	545	66.24	1478	56.36
Rbfox3	2948	57.26	990	58.79	478	56.90	1478	56.36
Rbfox3	2813	56.77	942	57.01	391	57.80	1478	56.36
Ctnna2	4148	49.37	2862	50.21	354	65.25	930	40.65
Ctnna2	4046	49.43	2862	50.21	252	72.62	930	40.65
Ctnna2	4004	49.30	2718	50.15	354	65.25	930	40.65
Dlg4	3330	57.09	2166	56.42	314	67.52	848	54.95
Dlg4	3339	57.08	2175	56.41	314	67.52	848	54.95
Myl6	656	49.85	456	53.95	13	61.54	185	38.38
Dlg3	4959	51.80	2508	53.67	349	72.49	2100	46.14
Dlg3	3956	49.29	1539	50.03	315	66.67	2100	46.14
Dlg3	3348	47.16	1101	47.05	145	63.45	2100	46.14
Dlg3	4905	51.60	2454	53.30	349	72.49	2100	46.14
Dlg3	5001	51.81	2550	53.65	349	72.49	2100	46.14
Cfl1	1196	53.51	501	52.10	144	64.58	549	51.73
Cplx1	2217	55.39	405	57.28	211	65.88	1599	53.53
Cox5b	584	54.62	390	58.21	99	60.61	93	32.26
Nucb1	2639	56.08	1380	58.33	95	55.79	1162	53.36
Nucb1	2627	56.07	1368	58.33	95	55.79	1162	53.36
Stx1a	2071	57.65	867	55.71	8	87.50	1194	58.88
Ndufv2	1637	42.88	459	43.79	478	56.07	698	33.24
Ndufv2	1540	42.47	747	46.45	93	78.49	698	33.24
Atp1b2	2959	53.13	873	51.43	587	62.69	1497	50.30
Basp1	1855	56.44	681	74.16	221	72.40	951	39.96
Slc25a4	1142	51.75	897	54.29	86	68.60	157	28.03
Psd3	9228	40.91	1131	48.19	188	50.53	7907	39.65
Psd3	9570	40.73	1557	45.54	104	50.96	7907	39.65
Psd3	11334	42.17	3015	47.86	410	49.27	7907	39.65
Tpm1	1210	51.32	855	50.88	80	73.75	273	45.79
Tpm1	1702	50.53	855	53.10	80	73.75	765	45.23
Tpm1	1702	48.94	855	49.94	80	73.75	765	45.23
Tpm1	1210	50.99	855	50.41	80	73.75	273	45.79
Tpm1	1675	51.34	747	53.28	161	71.43	765	45.23
Tpm1	1675	51.10	747	52.74	161	71.43	765	45.23
Tpm1	1183	54.44	747	53.82	161	71.43	273	45.79
Tpm1	1577	48.13	846	50.83	80	73.75	649	41.45
Tpm1	1550	50.45	738	53.79	161	71.43	649	41.45
Tpm1	1702	49.18	855	50.41	80	73.75	765	45.23
Glul	2822	49.08	1122	54.10	143	62.24	1555	44.18
Fabp5	950	44.95	405	50.86	54	66.67	489	37.42
