Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Tsen34	1555	57.43	951	62.88	283	55.83	319	42.32
Tsen34	1468	57.49	864	63.54	283	55.83	319	42.32
Tsen34	1365	58.53	951	62.88	93	68.82	319	42.32
Gpr158	7143	46.91	3603	51.48	688	54.65	2850	39.23
Rbm3	1348	45.25	465	52.26	257	63.04	624	32.53
Rbm3	1341	45.26	462	52.38	257	63.04	620	32.42
Rbm3	1345	45.28	462	52.38	257	63.04	624	32.53
Rbm3	1344	45.24	465	52.26	257	63.04	620	32.42
Rbm3	2978	43.02	465	52.26	257	63.04	2254	38.78
Mink1	4973	58.07	4014	57.35	188	78.19	769	56.83
Mink1	4994	58.03	4035	57.30	188	78.19	769	56.83
Mink1	4862	57.80	3903	56.98	188	78.19	769	56.83
Mink1	4886	57.76	3927	56.94	188	78.19	769	56.83
Stub1	1672	61.36	915	57.27	507	68.84	248	60.89
Idh2	1718	54.54	1359	56.07	73	73.97	284	41.90
H2afx	1414	60.04	432	69.68	46	54.35	934	55.89
Ndufa8	739	53.04	519	54.14	49	75.51	169	43.20
Snrpd3	604	48.01	381	49.61	104	52.88	117	38.46
Gdi2	2681	42.56	1338	43.20	223	70.40	1118	36.14
Tppp3	1040	57.98	531	56.50	148	68.24	359	55.71
Tuba4a	2053	53.09	1347	54.71	57	56.14	647	49.46
Wipf2	7589	50.92	1323	61.07	372	61.83	5892	47.96
Atp5d	931	61.12	507	61.74	150	65.33	272	57.35
Hist2h2ab	438	60.73	393	63.10	437	60.87	44	38.64
Ap2b1	5411	49.45	2856	48.11	163	59.51	2390	50.38
Ap2b1	5369	49.34	2814	47.87	163	59.51	2390	50.38
H2afj	1827	54.52	390	68.21	91	71.43	1344	49.40
Cadm1	4270	42.86	1254	53.03	20	65.00	2994	38.44
Cadm1	4354	43.11	1338	53.21	20	65.00	2994	38.44
Cadm1	4387	43.24	1371	53.39	20	65.00	2994	38.44
Cadm1	4303	42.99	1287	53.22	20	65.00	2994	38.44
Acta1	1571	56.97	1134	57.67	185	59.46	250	51.60
Acta1	1481	56.92	1134	57.67	95	61.05	250	51.60
Isca1	1915	47.62	390	50.77	84	67.86	1439	45.59
Map4k4	5782	52.46	3867	52.68	316	82.91	1597	45.90
Map4k4	5581	52.21	3666	52.32	316	82.91	1597	45.90
Map4k4	5542	52.26	3627	52.38	316	82.91	1597	45.90
Map4k4	5620	52.30	3705	52.44	316	82.91	1597	45.90
Anxa7	2850	48.88	1392	52.37	239	60.25	1217	42.65
Anxa7	2965	49.41	1392	52.37	354	61.02	1217	42.65
Nrxn3	7933	47.46	4716	52.50	680	55.15	2535	36.02
Nrxn3	5157	43.40	1704	51.53	916	48.69	2535	36.02
Nrxn3	6529	45.67	3303	51.80	689	51.81	2535	36.02
Actc1	1390	51.80	1134	52.47	78	65.38	176	40.91
Ahnak	1053	55.37	453	56.51	256	64.84	342	46.49
Ahnak	1145	54.67	522	54.98	256	64.84	365	47.12
Ahnak	18100	47.58	16971	47.66	256	64.84	871	40.99
Pdia4	2610	46.17	1926	48.86	207	70.05	475	24.84
Cbr1	1081	53.93	834	55.16	128	59.38	117	39.32
Khdrbs3	1954	50.26	1041	52.26	325	83.08	586	28.50
Plat	2548	49.69	1680	53.63	109	56.88	757	39.89
Tnik	7122	47.57	4059	51.07	428	63.08	2633	39.61
Tnik	7035	47.56	3972	51.13	428	63.08	2633	39.61
Tnik	4625	51.65	4092	50.86	428	63.08	103	34.95
Tnik	7146	47.52	4083	50.97	428	63.08	2633	39.61
Letm1	3480	54.02	2217	55.44	151	73.51	1110	48.56
Dgkg	5521	49.68	2367	51.33	457	63.89	2695	45.83
Ddx1	2488	45.06	2223	44.89	54	72.22	209	39.23
Rab3a	1490	54.43	663	54.60	189	68.78	636	49.84
Rab3a	1485	54.48	663	54.60	184	69.57	636	49.84
Mtdh	3680	43.59	1740	48.33	316	73.73	1622	32.61
Rps13	585	51.11	456	51.97	82	56.10	45	33.33
Rps12	535	51.03	399	50.88	90	68.89	44	15.91
Pla2g16	3523	44.88	489	53.99	154	55.19	2878	42.77
Sugt1	1951	42.54	1011	44.11	137	56.20	801	38.20
Add3	4449	45.81	2121	51.16	291	57.04	2035	38.57
Add3	4415	46.89	2025	51.16	353	69.97	2035	38.57
Add3	4353	45.69	2025	51.16	291	57.04	2035	38.57
Add3	4511	46.97	2121	51.16	353	69.97	2035	38.57
Add3	4261	45.01	2121	51.16	103	44.66	2035	38.57
Ndufs6	526	52.85	351	54.70	35	62.86	138	45.65
Epn1	2411	62.59	1728	62.27	267	76.03	414	55.56
Epn1	2582	62.04	1728	62.27	438	67.58	414	55.56
Sf3b1	6192	42.09	3915	44.34	111	68.47	2164	36.65
Bai3	5522	44.73	4569	46.16	260	48.46	691	33.72
Gpd1	2809	56.14	1050	57.14	14	64.29	1743	55.48
Srgap3	8887	50.64	3300	54.06	769	53.71	4816	47.78
Hist1h2ak	536	61.94	393	68.45	84	39.29	57	49.12
Psma5	1217	49.96	726	47.25	350	60.00	139	38.13
Arglu1	1731	50.72	816	54.41	219	80.82	694	36.89
Alad	4447	51.90	993	57.80	188	68.09	3264	49.17
Alad	4536	52.31	993	57.80	277	69.68	3264	49.17
Psmc2	1782	48.71	1428	49.72	273	45.42	79	40.51
Hist1h2af	468	62.61	393	68.70	467	62.74	74	29.73
Cct6a	2303	45.55	1596	47.43	82	65.85	623	37.88
Ldha	1854	50.38	1086	51.47	243	55.97	523	45.51
Ldha	1661	50.99	999	52.15	137	63.50	523	45.51
Hist3h2a	508	58.27	393	61.58	52	36.54	61	54.10
Hist1h2ab	505	63.17	393	68.96	44	36.36	66	46.97
Slc4a10	5514	41.91	3411	47.20	129	51.94	1972	32.05
Slc4a10	5424	41.72	3321	47.03	129	51.94	1972	32.05
Slc4a10	5553	41.96	3357	47.21	129	51.94	2065	32.78
Slc4a10	5460	41.76	3264	47.03	129	51.94	2065	32.78
Slc4a10	5511	41.90	3408	47.18	129	51.94	1972	32.05
Slc4a10	5421	41.71	3318	47.02	129	51.94	1972	32.05
Slc4a10	5463	41.77	3267	47.05	129	51.94	2065	32.78
Rock2	8012	41.11	4167	41.66	211	84.36	3632	37.94
Cacna2d1	7472	40.70	3312	43.33	322	76.71	3836	35.38
Cacna2d1	7436	40.68	3276	43.32	322	76.71	3836	35.38
Cacna2d1	7421	40.67	3261	43.30	322	76.71	3836	35.38
Cacna2d1	7400	40.69	3240	43.36	322	76.71	3836	35.38
Cacna2d1	7415	40.70	3255	43.38	322	76.71	3836	35.38
