Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Tcf4	7135	41.51	2001	54.32	238	46.64	4894	36.04
Tcf4	7462	41.18	2013	54.25	553	39.24	4894	36.04
Ywhaq	2110	49.38	738	50.41	344	75.29	1026	39.96
Fos	2107	51.45	1143	58.53	138	63.77	824	39.44
Itsn1	5386	51.30	3642	52.80	260	72.31	1482	43.93
Itsn1	6154	47.40	1866	52.63	260	72.31	4026	43.34
Itsn1	13976	50.85	5145	52.71	260	72.31	8569	49.07
Arpc1a	1588	51.51	1113	52.56	133	61.65	340	44.12
Nono	2465	48.56	1422	51.41	177	59.89	864	41.67
Nono	2468	48.58	1422	51.41	180	60.00	864	41.67
Rtn1	1551	49.97	627	54.23	137	77.37	785	41.78
Rtn1	2096	53.67	807	59.48	502	62.95	785	41.78
Rtn1	3632	55.09	2343	57.87	502	62.95	785	41.78
Ctnnb1	3440	48.66	2346	51.96	86	70.93	1006	39.17
Ctnnb1	3640	50.03	2346	51.96	286	72.73	1006	39.17
Coro1a	1686	57.65	1386	58.44	165	64.24	133	41.35
Capzb	1789	51.26	834	52.04	126	76.19	827	46.55
Capzb	1655	49.73	906	52.54	18	61.11	729	45.95
Capzb	1641	49.66	783	51.72	127	58.27	729	45.95
Capzb	1676	51.25	819	52.14	126	76.19	729	45.95
Cct4	1966	45.73	1620	44.75	160	65.62	184	36.96
Timm10	682	51.47	273	56.04	170	54.71	237	43.46
Cx3cl1	3144	56.55	1188	57.32	84	65.48	1870	55.61
Snrpa	1305	54.94	864	57.41	225	51.11	214	48.60
Snrpa	1379	56.71	864	57.41	299	60.20	214	48.60
Snrpa	1382	56.73	864	57.41	302	60.26	214	48.60
Npm1	1401	43.18	840	42.26	226	63.27	333	31.53
Npm1	1307	44.22	774	41.99	226	63.27	305	35.74
Npm1	1440	43.06	879	42.09	226	63.27	333	31.53
Eif5a2	4992	38.46	462	45.24	138	74.64	4390	36.61
Hnrnpf	2297	46.36	1248	50.72	414	55.56	633	31.75
Hnrnpf	2236	45.89	1248	50.72	353	54.11	633	31.75
Hnrnpf	2197	45.70	1248	50.72	314	53.82	633	31.75
Hnrnpf	2548	48.78	1248	50.72	665	61.35	633	31.75
Hnrnpf	2487	49.01	1248	50.72	604	63.58	633	31.75
Hnrnpf	2288	44.97	1248	50.72	405	47.90	633	31.75
Hnrnpf	2179	45.07	1248	50.72	296	49.66	633	31.75
Sf1	4361	55.06	1920	57.92	397	71.79	2042	49.12
Sf1	3723	54.18	1647	56.04	397	71.79	1677	48.12
Ppp3cb	3881	39.60	1578	43.16	132	75.76	2169	34.76
Dynlrb1	946	54.44	315	48.57	301	68.44	328	46.95
Dynlrb1	702	49.15	291	47.42	81	62.96	328	46.95
Mat2a	2804	44.79	1188	45.88	121	68.60	1493	42.00
Dnajc7	2312	51.12	1485	47.47	563	63.06	262	46.18
Arf3	3481	53.32	546	53.30	227	67.84	2706	52.07
