Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Sirpa	3377	54.58	876	53.65	443	76.30	2056	50.29
Sirpa	4043	54.24	1542	53.18	443	76.30	2056	50.29
Sirpa	3845	52.69	1542	53.18	245	69.80	2056	50.29
Sirpa	3389	54.53	888	53.49	443	76.30	2056	50.29
Sirpa	3020	55.26	519	57.03	443	76.30	2056	50.29
Sirpa	4031	54.28	1530	53.27	443	76.30	2056	50.29
Ube2n	3851	40.56	459	45.75	45	62.22	3345	39.52
Pdia3	2658	45.22	1518	45.59	136	73.53	1002	40.82
Camkv	3031	57.31	1539	56.99	140	70.00	1350	56.44
Snrpb	1121	57.54	696	60.06	127	66.14	296	47.97
Tra2a	1839	44.21	849	49.94	178	62.92	810	34.07
Hap1	3774	56.60	1797	58.82	63	65.08	1912	54.18
Hap1	3225	57.27	1887	59.57	63	65.08	1273	53.42
Cnbp	2157	44.92	516	53.10	216	64.35	1423	39.07
Cnbp	2154	44.94	513	53.22	216	64.35	1423	39.07
Cnbp	2178	44.95	537	52.89	216	64.35	1423	39.07
Ubqln1	3693	47.93	1749	53.06	216	78.70	1726	38.82
Ubqln1	3609	48.07	1665	53.63	216	78.70	1726	38.82
Jun	3187	55.57	1005	63.08	950	62.74	1230	43.90
Ndufs1	2936	45.88	2184	45.05	503	57.46	247	29.15
Ndufs1	2778	45.14	2184	45.05	345	56.81	247	29.15
Ndufs1	2832	45.76	2184	45.05	399	59.65	247	29.15
Ndufs1	2674	44.99	2184	45.05	241	60.17	247	29.15
Pdxp	2018	61.79	879	71.33	50	78.00	1087	53.27
Rnf214	3782	51.14	2007	50.92	532	72.37	1241	42.39
Pacsin2	3693	52.69	1461	53.94	220	71.82	2010	49.70
Pacsin2	3644	51.84	1461	53.94	171	59.06	2010	49.70
Pacsin2	3732	51.63	1461	53.94	259	53.67	2010	49.70
Eif2s2	2513	41.90	996	39.76	201	60.70	1314	40.64
Hsph1	3478	47.35	2577	46.80	238	63.87	661	43.42
Rpl8	862	58.24	774	58.66	48	62.50	38	44.74
Prps1	1998	44.69	957	46.60	138	63.04	901	39.73
Prps1l3	4010	40.80	957	45.77	262	67.56	2789	36.57
Nudc	1363	57.15	999	56.26	141	75.89	221	49.32
Rab11a	2333	39.48	651	43.16	132	75.76	1548	34.75
Hspa1b	2810	58.01	1929	65.27	230	64.35	649	34.21
Hspa1a	2798	59.86	1926	64.95	230	64.78	640	42.81
Rab11b	6065	48.16	657	54.03	223	66.82	5183	46.61
Pcbp2	2868	46.44	1089	50.96	244	66.80	1533	39.99
Pcbp2	2775	45.91	996	49.90	244	66.80	1533	39.99
Pcbp2	2724	45.93	969	49.95	220	69.55	1533	39.99
Pcbp2	2829	46.38	1050	50.95	244	66.80	1533	39.99
Ndrg1	2909	51.94	1185	57.30	155	56.77	1567	47.42
Gnb2	1593	60.14	1023	58.36	179	79.89	389	55.53
Erh	812	47.17	315	46.98	94	68.09	401	42.39
Atp5f1	1486	50.07	771	47.08	561	59.89	152	29.61
Ppp1r10	4239	54.52	2667	56.58	531	48.78	1039	52.07
Dync1li1	2046	49.36	1572	51.40	50	60.00	422	40.52
Bdnf	4161	40.71	750	52.13	519	51.45	2890	35.81
Bdnf	4001	40.26	750	52.13	359	51.25	2890	35.81
Bdnf	4009	41.56	750	52.13	367	65.12	2890	35.81
Bdnf	4078	40.56	750	52.13	436	52.06	2890	35.81
Bdnf	3875	39.97	750	52.13	233	52.36	2890	35.81
Bdnf	3866	39.71	750	52.13	224	48.21	2890	35.81
Bdnf	3855	40.10	750	52.13	213	55.87	2890	35.81
Bdnf	3743	39.46	750	52.13	101	49.50	2890	35.81
Bdnf	3941	39.58	750	52.13	299	44.48	2890	35.81
Bdnf	4123	39.58	750	52.13	481	42.62	2890	35.81
Bdnf	4302	40.63	774	52.07	636	48.74	2890	35.81
Prosc	1463	49.21	462	54.76	59	74.58	940	44.89
Prosc	1427	49.47	426	56.10	59	74.58	940	44.89
Prosc	3619	49.54	825	54.30	59	74.58	2733	47.57
