Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Tcf4	7135	41.51	2001	54.32	238	46.64	4894	36.04
Tcf4	7462	41.18	2013	54.25	553	39.24	4894	36.04
Dnajc7	2312	51.12	1485	47.47	563	63.06	262	46.18
Rac2	3036	52.83	579	57.34	137	63.50	2318	51.08
Rac3	1078	61.32	579	56.99	138	81.16	359	60.72
Fos	2107	51.45	1143	58.53	138	63.77	824	39.44
Itsn1	5386	51.30	3642	52.80	260	72.31	1482	43.93
Itsn1	6154	47.40	1866	52.63	260	72.31	4026	43.34
Itsn1	13976	50.85	5145	52.71	260	72.31	8569	49.07
Hdlbp	6347	50.20	3807	49.67	306	56.86	2232	50.18
Ctnnb1	3440	48.66	2346	51.96	86	70.93	1006	39.17
Ctnnb1	3640	50.03	2346	51.96	286	72.73	1006	39.17
Capzb	1789	51.26	834	52.04	126	76.19	827	46.55
Capzb	1655	49.73	906	52.54	18	61.11	729	45.95
Capzb	1641	49.66	783	51.72	127	58.27	729	45.95
Capzb	1676	51.25	819	52.14	126	76.19	729	45.95
Ncdn	3701	59.93	2190	60.59	425	57.41	1084	59.59
Cx3cl1	3144	56.55	1188	57.32	84	65.48	1870	55.61
Snrpa	1305	54.94	864	57.41	225	51.11	214	48.60
Snrpa	1379	56.71	864	57.41	299	60.20	214	48.60
Snrpa	1382	56.73	864	57.41	302	60.26	214	48.60
Npm1	1401	43.18	840	42.26	226	63.27	333	31.53
Npm1	1307	44.22	774	41.99	226	63.27	305	35.74
Npm1	1440	43.06	879	42.09	226	63.27	333	31.53
Eif5a2	4992	38.46	462	45.24	138	74.64	4390	36.61
Lin7b	746	57.51	624	62.34	5	80.00	115	31.30
Tfam	3918	43.34	732	45.08	103	65.05	3081	42.16
Ncl	8257	42.99	2124	44.68	231	63.20	5900	41.59
Cstb	620	47.90	297	50.17	121	61.16	200	36.50
Pdia6	2125	48.19	1338	51.27	22	77.27	763	41.94
Arpc1a	1588	51.51	1113	52.56	133	61.65	340	44.12
Rac1	2284	46.85	579	50.26	195	78.46	1508	41.45
Gprasp2	3814	48.01	2481	47.64	976	52.66	355	37.75
Gprasp2	3776	48.01	2481	47.64	938	52.88	355	37.75
Gprasp2	3761	48.02	2481	47.64	923	52.98	355	37.75
Fau	571	59.37	402	58.46	118	66.10	49	48.98
Fau	736	60.46	402	58.46	283	65.02	49	48.98
Fau	574	59.23	402	58.46	121	65.29	49	48.98
Pfn2	2020	48.07	423	51.77	274	81.02	1321	39.97
Grin2a	4512	50.49	4395	50.76	4511	50.50	116	39.66
Gng2	3678	42.58	216	53.70	213	57.28	3247	40.87
Gng2	3638	42.39	216	53.70	173	56.65	3247	40.87
Gng2	3745	42.67	216	53.70	280	55.00	3247	40.87
Gng2	3785	43.62	216	53.70	320	64.69	3247	40.87
Gng2	3653	42.43	216	53.70	188	56.38	3247	40.87
Gng2	3826	43.78	216	53.70	361	63.99	3247	40.87
