Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Wasf1	2572	47.63	1680	52.92	103	63.11	787	34.18
Cnp	2548	54.47	1203	57.36	401	53.87	942	51.06
Cnp	2333	55.34	1263	56.85	126	71.43	942	51.06
Rtn4	3271	39.10	600	43.00	285	45.61	2384	37.37
Rtn4	5558	40.52	3141	42.73	31	58.06	2384	37.37
Rtn4	3747	45.61	1071	58.08	290	67.24	2384	37.37
Rtn4	3804	45.72	1128	57.80	290	67.24	2384	37.37
Rtn4	6165	43.89	3489	46.40	290	67.24	2384	37.37
Hnrnpr	8022	38.51	1899	47.92	156	67.31	5965	34.77
Hnrnpr	7861	38.44	1596	48.87	298	56.38	5965	34.77
Hnrnpr	7856	38.44	1596	48.87	293	56.66	5965	34.77
Hnrnpr	8025	38.52	1899	47.92	159	67.30	5965	34.77
Camk2b	4034	56.47	1638	56.72	209	82.30	2185	53.78
Camk2b	3986	55.92	1590	55.35	209	82.30	2185	53.78
Camk2b	4025	56.25	1629	56.17	209	82.30	2185	53.78
Napg	3496	43.82	939	51.54	52	57.69	2503	40.63
Clip2	4908	60.02	3039	60.05	455	68.13	1412	57.29
Clip2	5013	60.08	3144	60.15	455	68.13	1412	57.29
Aak1	19363	46.62	2880	52.78	535	63.36	15946	44.94
Aak1	19120	46.43	2637	51.95	535	63.36	15946	44.94
Hnrnpk	2793	42.25	1392	46.70	146	58.22	1253	35.43
Synj1	7012	46.75	3930	48.65	144	77.78	2936	42.68
Synj1	7085	46.86	4824	49.13	117	74.36	2142	40.29
Hspe1	788	50.51	309	43.69	261	72.80	216	33.33
Dbn1	3044	57.82	2121	59.08	127	74.02	794	51.89
Dbn1	2909	57.79	1986	59.11	127	74.02	794	51.89
Dbn1	2906	57.78	1983	59.10	127	74.02	794	51.89
Cadm3	4159	54.41	1191	53.65	200	72.00	2766	53.43
Ppia	736	47.96	495	49.70	40	60.00	199	41.21
Add2	8223	51.93	2178	56.80	401	61.85	5642	49.34
Add2	8220	51.92	2178	56.80	398	61.81	5642	49.34
Add2	8006	51.57	2178	56.80	199	53.77	5627	49.48
Add2	3497	55.76	1689	58.02	401	61.85	1405	51.32
Add2	3298	54.91	1689	58.02	202	53.96	1405	51.32
Add2	8024	51.48	2178	56.80	202	53.96	5642	49.34
Tceal5	1016	52.76	603	55.56	178	55.62	233	43.35
Chchd3	1432	46.86	684	52.49	71	64.79	675	39.26
Map1b	11852	47.65	7395	50.93	114	64.04	4341	41.65
Etfb	920	55.98	768	57.42	75	57.33	75	38.67
Hspa5	2534	46.53	1968	47.46	149	61.07	415	36.63
Hspa5	2616	47.25	1968	47.46	231	64.07	415	36.63
Nrgn	1293	58.62	237	67.93	193	65.80	861	54.47
Kif21a	6443	47.17	5019	49.03	248	78.23	1174	32.54
Kif21a	6311	47.27	4887	49.21	248	78.23	1174	32.54
Kif21a	6128	47.05	4704	49.00	248	78.23	1174	32.54
Kif21a	6146	47.02	4722	48.96	248	78.23	1174	32.54
Khsrp	4001	57.39	2247	61.59	107	73.83	1645	50.58
Gas7	7105	49.96	1251	55.56	312	54.81	5540	48.43
Gas7	6934	49.83	1239	55.53	153	54.25	5540	48.43
Gas7	6848	49.71	1062	54.43	244	58.61	5540	48.43
Gas7	6911	49.83	1266	55.61	103	54.37	5540	48.43
Tppp	5108	47.44	657	56.77	94	72.34	4355	45.46
Dlgap1	5306	46.87	2049	56.61	77	57.14	3178	40.37
Dlgap1	3304	48.34	1911	53.90	73	42.47	1318	40.59
Dlgap1	4289	51.34	2805	56.29	164	53.05	1318	40.59
Dlgap1	6323	48.84	2979	57.67	164	53.05	3178	40.37
Ndufs4	1534	42.96	528	46.21	37	56.76	967	40.54
Sfxn3	2875	52.87	867	57.09	317	62.46	1689	48.85
Sfxn3	2851	52.54	846	56.03	314	62.74	1689	48.85
Sfxn3	2974	52.79	966	56.42	317	62.46	1689	48.85
Fkbp1a	1667	49.79	327	53.52	224	75.00	1114	43.54
Clta	1109	54.19	657	59.82	148	64.19	302	37.09
Clta	1199	53.54	747	58.10	148	64.19	302	37.09
Clta	1103	54.03	651	59.60	148	64.19	302	37.09
Clta	1128	54.34	693	58.87	141	65.25	292	38.36
Clta	1163	53.91	711	58.93	148	64.19	302	37.09
Aplp2	3658	48.55	2256	50.75	87	66.67	1313	43.49
Aplp2	3526	48.24	2124	50.38	87	66.67	1313	43.49
Aplp2	3490	48.25	2088	50.43	87	66.67	1313	43.49
Syn2	3343	54.92	1761	58.55	178	74.16	1402	47.86
Syn2	3858	51.53	1440	56.88	178	74.16	2238	46.29
P4hb	2538	52.21	1530	51.50	128	71.88	878	50.57
Idh3b	1520	51.45	1155	53.16	33	69.70	330	43.64
Ncan	7184	54.97	3807	59.78	123	68.29	3252	48.86
Tpt1	956	46.34	519	46.05	172	75.00	263	27.76
Arsb	3989	50.36	1605	55.76	98	68.37	2284	45.75
Sptan1	8042	52.19	7437	52.05	228	74.12	375	41.87
Sptan1	8039	52.21	7434	52.07	228	74.12	375	41.87
Sptan1	7979	52.22	7374	52.09	228	74.12	375	41.87
Srrm2	8613	51.68	7824	51.65	257	69.26	530	43.58
Aldh2	2207	58.77	1560	59.23	342	62.57	303	52.15
Mdh2	1297	54.05	1017	55.46	86	65.12	192	41.15
Uqcrh	562	48.58	270	49.63	100	54.00	190	44.21
Pacsin1	4250	57.53	1326	57.99	324	68.21	2598	55.93
Pacsin1	4156	57.46	1326	57.99	230	71.30	2598	55.93
Pacsin1	4215	57.53	1326	57.99	289	69.55	2598	55.93
