Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Ndufa6	560	53.04	396	54.04	62	74.19	100	35.00
Srsf5	1536	43.23	810	47.78	187	55.61	537	32.03
Srsf5	1662	44.65	810	47.78	313	58.15	537	32.03
Srsf5	1532	43.21	810	47.78	183	55.74	537	32.03
Myh9	7439	56.93	5883	57.33	237	69.62	1317	52.77
Dlst	2767	51.36	1365	52.53	63	73.02	1337	49.07
Psat1	2295	49.19	1104	50.63	267	59.18	922	44.58
Psat1	2172	48.90	1113	50.58	135	64.44	922	44.58
Echs1	1491	50.03	873	51.20	28	64.29	588	47.45
Eno2	2811	54.54	1305	55.71	251	72.51	1253	49.72
Rpl17	775	47.23	555	47.93	79	56.96	139	38.85
Atp1a3	3609	58.05	3042	57.00	176	76.70	389	57.58
Rpl11	594	51.68	537	53.26	17	52.94	38	28.95
Sdha	2859	48.20	1995	51.23	31	64.52	831	40.31
Ctbp1	2302	56.78	1323	58.81	185	81.62	792	47.60
Ctbp1	2495	56.51	1290	58.53	411	67.40	792	47.60
Ctbp1	2498	56.53	1293	58.55	411	67.40	792	47.60
Ctbp1	2305	56.79	1326	58.82	185	81.62	792	47.60
Wdr7	7109	48.25	4470	51.28	237	61.60	2400	41.25
Atp2b1	7130	42.62	3663	45.81	442	54.30	3023	37.05
Psmb1	1036	47.68	723	50.07	13	61.54	298	40.94
Atp2a2	4565	50.05	3135	49.63	539	79.59	889	33.52
Atp2a2	4353	51.21	2997	49.42	539	79.59	815	38.90
Rab2a	2057	44.09	639	44.91	218	76.61	1198	37.65
Eef1a2	2111	58.74	1392	56.82	366	66.67	351	58.40
Sumo2	998	42.38	288	45.83	111	69.37	597	35.68
Cycs	3059	40.27	318	45.60	66	56.06	2673	39.28
Wdr13	4199	51.63	1182	59.81	772	60.36	2243	44.32
Wdr13	4233	51.64	1458	59.81	530	60.19	2243	44.32
Wdr13	4485	51.51	1182	59.81	1058	57.47	2243	44.32
Syp	2482	56.24	945	58.41	112	75.89	1423	53.27
Nptx1	5284	55.17	1299	60.66	230	75.65	3753	52.01
Ncam1	6192	48.82	2547	53.95	339	59.88	3304	43.77
Ncam1	6993	50.16	3348	55.53	339	59.88	3304	43.77
Ncam1	4885	51.26	2178	53.58	339	59.88	2366	47.93
S100b	1676	46.48	279	53.41	130	56.15	1265	43.87
Idh3a	2418	44.67	1101	47.50	5	80.00	1310	42.06
Ppp2r1a	2256	53.95	1770	53.90	51	62.75	433	53.12
Ehd3	3658	52.21	1608	54.66	401	62.34	1647	47.36
Acyp2	671	36.07	321	48.60	16	62.50	332	22.89
Ckb	1478	59.88	1146	59.86	123	69.92	207	54.11
Erc2	6083	46.34	3009	49.88	312	60.90	2760	40.87
Sucla2	2108	41.46	1392	44.97	21	66.67	693	33.62
Rps7	961	49.12	585	49.40	106	61.32	268	43.66
Ywhab	2775	45.69	741	49.39	171	73.68	1861	41.70
Pfkm	2894	54.46	2343	54.97	148	60.81	401	49.13
Pfkm	2830	53.75	2343	54.97	84	41.67	401	49.13
Pfkm	2847	53.92	2343	54.97	101	48.51	401	49.13
Uqcrb	503	40.76	336	42.86	38	55.26	127	31.50
Ddah1	3747	49.37	858	56.64	169	73.96	2718	45.51
Ldhb	1338	51.64	1005	53.63	110	61.82	221	37.10
Gap43	1316	51.14	684	55.56	148	60.14	482	42.12
Scrn1	1777	52.45	1245	52.05	143	68.53	387	47.80
Hk1	4157	56.17	2757	54.37	345	68.70	1053	56.70
Hk1	4100	54.98	2838	54.51	207	52.66	1053	56.70
Timm9	997	45.84	270	44.07	330	52.42	395	41.77
Timm9	813	45.51	270	44.07	146	58.90	395	41.77
Timm9	899	45.49	270	44.07	232	53.88	395	41.77
Timm9	1035	46.18	270	44.07	368	52.72	395	41.77
Taok1	12411	40.57	3006	44.15	697	71.88	8706	36.83
Slc25a22	2563	56.61	972	59.05	217	59.91	1372	54.37
Slc25a22	2805	57.43	972	59.05	459	63.18	1372	54.37
Slc4a4	7395	43.92	3285	49.35	65	72.31	4043	39.03
Slc4a4	7465	43.91	3213	49.39	65	72.31	4185	39.26
Slc4a4	7492	43.90	3240	49.32	65	72.31	4185	39.26
Rab2b	2770	45.74	651	49.92	153	56.21	1964	43.53
Ndufa10	1222	52.29	1068	52.62	20	75.00	132	46.21
Atp6v0a1	3841	53.61	2340	50.90	175	60.57	1324	57.48
Atp6v0a1	4001	53.36	2499	50.30	176	65.34	1324	57.48
Atp6v0a1	4022	53.33	2520	50.28	176	65.34	1324	57.48
Atp6v0a1	4019	53.40	2517	50.38	176	65.34	1324	57.48
Atp6v1g1	1109	47.88	357	57.42	152	64.47	598	37.96
Bag6	3804	60.04	3411	59.54	306	69.28	85	45.88
Bag6	3568	59.39	3369	59.48	112	66.07	85	45.88
Bag6	3858	59.93	3465	59.42	306	69.28	85	45.88
Klc1	2430	56.13	1656	55.31	175	76.57	597	52.26
Klc1	2457	56.08	1683	55.26	175	76.57	597	52.26
