Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Pcx	4148	57.74	3540	57.77	143	65.03	463	55.51
Pcx	4125	57.41	3537	57.79	123	53.66	463	55.51
Hnrnpr	8022	38.51	1899	47.92	156	67.31	5965	34.77
Hnrnpr	7861	38.44	1596	48.87	298	56.38	5965	34.77
Hnrnpr	7856	38.44	1596	48.87	293	56.66	5965	34.77
Hnrnpr	8025	38.52	1899	47.92	159	67.30	5965	34.77
Hist2h2ab	438	60.73	393	63.10	437	60.87	44	38.64
Hist2h2ac	468	62.61	390	66.92	35	42.86	41	41.46
Bai3	5522	44.73	4569	46.16	260	48.46	691	33.72
Anxa7	2850	48.88	1392	52.37	239	60.25	1217	42.65
Anxa7	2965	49.41	1392	52.37	354	61.02	1217	42.65
Dstn	1918	45.05	498	44.38	313	66.45	1105	39.28
Actc1	1390	51.80	1134	52.47	78	65.38	176	40.91
Khsrp	4001	57.39	2247	61.59	107	73.83	1645	50.58
Olfm1	1048	60.31	462	59.52	260	86.15	324	40.43
Olfm1	2686	53.87	1374	53.49	303	76.90	1007	47.37
Olfm1	1007	57.89	378	57.41	303	76.90	324	40.43
Olfm1	2727	54.86	1458	54.39	260	86.15	1007	47.37
Matr3	4472	38.37	2541	42.38	315	46.35	1614	30.48
Sept5	2155	57.12	1110	55.23	87	85.06	956	56.69
Sh3gl2	2817	47.75	1059	50.80	120	78.33	1636	43.46
Ncan	7184	54.97	3807	59.78	123	68.29	3252	48.86
Aldh6a1	3346	42.65	1608	49.25	10	70.00	1726	36.33
Mapk1	1932	46.58	1077	46.52	244	69.67	609	37.44
Mapk1	5099	44.20	1077	46.52	244	69.67	3776	41.90
Ndufa8	739	53.04	519	54.14	49	75.51	169	43.20
Phgdh	1871	57.40	1602	57.68	136	59.56	131	51.91
Psma5	1217	49.96	726	47.25	350	60.00	139	38.13
Gdi2	2681	42.56	1338	43.20	223	70.40	1118	36.14
Hist3h2a	508	58.27	393	61.58	52	36.54	61	54.10
Zeb2	8898	40.07	3648	48.11	188	67.02	5060	33.28
Zeb2	9235	40.06	3648	48.11	525	49.71	5060	33.28
Calb2	1462	52.33	816	50.00	68	64.71	576	54.17
Atp5h	574	50.17	486	49.18	36	63.89	50	50.00
Acot7	1505	56.21	1155	56.88	66	56.06	282	53.19
Acot7	1367	55.74	1053	56.32	30	56.67	282	53.19
Acot7	1494	58.50	1140	58.42	70	80.00	282	53.19
Gas7	7105	49.96	1251	55.56	312	54.81	5540	48.43
Gas7	6934	49.83	1239	55.53	153	54.25	5540	48.43
Gas7	6848	49.71	1062	54.43	244	58.61	5540	48.43
Gas7	6911	49.83	1266	55.61	103	54.37	5540	48.43
Tsen34	1555	57.43	951	62.88	283	55.83	319	42.32
Tsen34	1468	57.49	864	63.54	283	55.83	319	42.32
Tsen34	1365	58.53	951	62.88	93	68.82	319	42.32
Dpysl2	4451	47.67	1719	55.56	231	40.26	2499	42.94
Rtn4	3271	39.10	600	43.00	285	45.61	2384	37.37
Rtn4	5558	40.52	3141	42.73	31	58.06	2384	37.37
Rtn4	3747	45.61	1071	58.08	290	67.24	2384	37.37
Rtn4	3804	45.72	1128	57.80	290	67.24	2384	37.37
Rtn4	6165	43.89	3489	46.40	290	67.24	2384	37.37
Idh2	1718	54.54	1359	56.07	73	73.97	284	41.90
Eno1	1831	53.85	1305	55.25	152	59.21	372	46.77
Synj1	7012	46.75	3930	48.65	144	77.78	2936	42.68
Synj1	7085	46.86	4824	49.13	117	74.36	2142	40.29
Rpl13	794	56.05	636	58.18	101	59.41	55	25.45
Wipf2	7589	50.92	1323	61.07	372	61.83	5892	47.96
Ap2b1	5411	49.45	2856	48.11	163	59.51	2390	50.38
Ap2b1	5369	49.34	2814	47.87	163	59.51	2390	50.38
Isca1	1915	47.62	390	50.77	84	67.86	1439	45.59
Bin1	2135	57.33	1434	56.90	189	74.07	510	52.16
Bin1	2468	57.94	1767	57.84	189	74.07	510	52.16
Gpr158	7143	46.91	3603	51.48	688	54.65	2850	39.23
Letm1	3480	54.02	2217	55.44	151	73.51	1110	48.56
Thy1	1753	55.22	489	55.42	117	63.25	1145	54.24
Cacna2d1	7472	40.70	3312	43.33	322	76.71	3836	35.38
Cacna2d1	7436	40.68	3276	43.32	322	76.71	3836	35.38
Cacna2d1	7421	40.67	3261	43.30	322	76.71	3836	35.38
Cacna2d1	7400	40.69	3240	43.36	322	76.71	3836	35.38
Cacna2d1	7415	40.70	3255	43.38	322	76.71	3836	35.38
Syn2	3343	54.92	1761	58.55	178	74.16	1402	47.86
Syn2	3858	51.53	1440	56.88	178	74.16	2238	46.29
Nedd8	602	52.82	246	50.41	93	65.59	261	50.57
Pla2g16	3523	44.88	489	53.99	154	55.19	2878	42.77
Idh3g	1335	51.84	1182	52.54	41	43.90	110	46.36
Srrm2	8613	51.68	7824	51.65	257	69.26	530	43.58
Gpd1	2809	56.14	1050	57.14	14	64.29	1743	55.48
Hist1h2ah	522	62.84	387	70.03	90	41.11	43	46.51
Hist1h2ak	536	61.94	393	68.45	84	39.29	57	49.12
Psmc2	1782	48.71	1428	49.72	273	45.42	79	40.51
Hist1h2af	468	62.61	393	68.70	467	62.74	74	29.73
Cct6a	2303	45.55	1596	47.43	82	65.85	623	37.88
Ldha	1854	50.38	1086	51.47	243	55.97	523	45.51
Ldha	1661	50.99	999	52.15	137	63.50	523	45.51
