Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Prdm16	8433	53.36	3534	59.08	113	54.87	4784	49.10
Prdm16	8602	53.31	3825	58.67	113	54.87	4662	48.86
Prdm16	8436	53.37	3537	59.09	113	54.87	4784	49.10
Prdm16	8605	53.32	3828	58.67	113	54.87	4662	48.86
Cmpk1	1880	40.21	684	44.59	94	86.17	1100	33.55
Caskin1	6190	60.32	4296	61.24	186	76.88	1706	56.15
Cpne6	2218	57.03	1674	56.39	288	67.71	254	48.82
Cpne6	2192	57.12	1671	56.43	265	69.06	254	48.82
Cpne6	2021	55.57	1674	56.39	91	58.24	254	48.82
Sncb	1210	59.59	402	57.21	144	70.83	662	58.46
Cadps	5475	49.02	4068	50.66	340	69.12	1065	36.34
Cadps	5478	49.14	4086	50.64	340	69.12	1050	36.86
Anxa6	2643	53.95	2004	52.79	138	66.67	499	55.11
Anxa6	2661	53.96	2022	52.82	138	66.67	499	55.11
Rpl36	425	58.12	318	61.32	55	65.45	50	30.00
Rhoq	4159	46.60	618	48.71	494	82.59	3045	40.30
Tln2	12150	53.01	7629	55.07	199	45.23	4320	49.75
Prpf40a	3565	41.07	2862	42.98	3564	41.08	702	33.33
Lrrc59	2810	52.60	924	58.23	180	75.00	1704	47.12
Ilf3	3564	53.14	2697	54.47	323	58.20	542	43.73
Ilf3	3777	49.85	2151	52.95	323	58.20	1301	42.74
Ilf3	3738	49.97	2112	53.22	323	58.20	1301	42.74
Ilf3	3594	53.01	2727	54.27	323	58.20	542	43.73
Ilf3	3531	52.02	2736	54.24	251	46.22	542	43.73
Ilf3	3603	52.98	2736	54.24	323	58.20	542	43.73
Marcksl1	1611	57.91	603	62.69	248	77.82	758	47.49
Kctd12	6076	45.05	984	68.90	196	75.00	4894	39.03
Ogdh	6675	50.49	3117	52.39	122	64.75	3434	48.28
Ogdh	6663	50.32	3105	52.05	122	64.75	3434	48.28
Ogdh	6706	50.79	3072	52.54	198	67.68	3434	48.28
Ogdh	6678	50.09	3060	52.19	182	49.45	3434	48.28
Ogdh	6630	50.54	3072	52.54	122	64.75	3434	48.28
Thrap3	4350	50.11	2856	51.54	157	68.15	1335	44.87
Scamp1	3605	41.75	1017	50.44	4	100.00	2582	38.23
Nap1l1	3951	39.66	1257	41.05	601	43.59	2091	37.69
Nap1l1	1529	44.08	1176	41.58	179	67.60	172	36.05
Plcb1	6998	43.86	3651	47.88	368	72.55	2977	35.37
Plcb1	7116	44.11	3522	47.90	368	72.55	3224	36.69
Pygb	3860	53.99	2532	54.98	71	64.79	1255	51.39
Ablim2	3726	57.22	1995	57.39	170	75.29	1559	54.97
Ablim2	3585	56.96	1854	56.90	170	75.29	1559	54.97
Ablim2	3555	57.30	1824	57.57	170	75.29	1559	54.97
Ablim2	3552	56.95	1821	56.89	170	75.29	1559	54.97
Ablim2	3453	57.08	1722	57.14	170	75.29	1559	54.97
Ablim2	3570	57.23	1839	57.42	170	75.29	1559	54.97
Pin1	3808	52.42	498	58.03	9	55.56	3299	51.53
Fam98b	1861	46.96	1290	50.93	28	53.57	541	37.15
Ppp2ca	1930	47.67	930	47.63	224	78.12	774	38.89
Ppp2cb	1836	49.84	930	48.39	295	85.08	609	34.98
Krt17	1532	57.96	1302	59.14	23	69.57	205	48.78
Krt14	1680	57.02	1455	58.56	54	55.56	169	44.38
Cltb	1576	54.19	636	60.06	7	71.43	931	49.95
Pja1	2718	49.85	1737	55.79	131	67.18	848	35.02
Pja1	3004	50.00	1848	55.84	306	56.21	848	35.02
Pja1	2160	49.26	1197	56.64	131	67.18	830	35.78
Pja1	2151	49.28	1188	56.73	131	67.18	830	35.78
Gphn	3316	45.60	2319	47.74	122	74.59	873	35.85
Gphn	3307	45.57	2310	47.71	122	74.59	873	35.85
Cndp2	2169	53.85	1428	54.76	161	55.90	578	50.87
Cndp2	2137	54.70	1428	54.76	129	70.54	578	50.87
Eef1d	1707	51.08	846	54.26	103	59.22	756	46.56
Eef1d	1707	51.32	846	54.26	103	63.11	756	46.56
Eef1d	1635	51.01	774	54.39	103	59.22	756	46.56
Eef1d	1638	51.28	774	54.39	106	63.21	756	46.56
Eef1d	1635	51.25	774	54.39	103	63.11	756	46.56
Eef1d	1692	51.83	831	55.35	103	63.11	756	46.56
Eef1d	1710	51.35	846	54.26	106	63.21	756	46.56
Eef1d	2855	56.01	1983	59.25	114	63.16	756	46.56
Cnksr2	5434	42.75	3099	44.60	269	76.58	2064	35.51
Ptprd	9127	43.02	4527	46.32	878	56.95	3720	35.70
Alyref2	1273	50.59	657	58.75	178	58.43	436	35.09
Gng3	1699	53.62	228	53.95	256	54.30	1213	53.42
Cdkn1b	2405	45.70	594	58.42	518	60.81	1291	33.77
Camk1d	7108	48.03	1014	51.28	524	73.28	5568	45.04
Camk1d	7183	47.93	1089	50.41	524	73.28	5568	45.04
Camk1d	6742	45.88	1134	49.82	64	50.00	5542	45.00
Camk1d	7226	47.92	1158	50.35	524	73.28	5542	45.00
Arhgef7	4946	51.74	2349	53.98	146	85.62	2449	47.53
Arhgef7	4665	53.83	2118	52.64	406	57.14	2139	54.32
Arhgef7	4488	53.94	1941	52.81	406	57.14	2139	54.32
Sorbs1	5282	47.73	2145	50.58	127	57.48	3008	45.25
Sorbs1	5312	47.53	2175	50.07	127	57.48	3008	45.25
Sorbs1	5275	47.64	2223	50.52	42	64.29	3008	45.25
Sorbs1	5471	48.35	2055	50.61	406	59.61	3008	45.25
Sorbs1	6320	49.57	2817	51.40	493	65.31	3008	45.25
Hnrnpul2	5726	50.45	2238	53.53	880	62.27	2606	43.82
Dbi	593	49.24	408	51.47	4	50.00	179	44.13
Dbi	587	49.57	264	48.11	142	59.86	179	44.13
Ndufv1	1608	56.47	1395	55.91	132	67.42	79	46.84
Ppp1cb	4024	39.24	984	42.58	385	71.69	2653	33.28
Cox5a	707	49.65	441	51.93	95	70.53	169	31.95
Hsp90b1	2759	43.13	2409	43.17	88	64.77	260	35.38
Fkbp3	945	41.48	675	42.96	15	66.67	253	35.97
Atp2b3	6748	50.76	3663	53.13	368	67.66	2715	45.23
Pak3	8242	38.79	1743	45.50	26	46.15	6471	36.96
Pak3	8197	38.68	1698	45.17	26	46.15	6471	36.96
Pak3	8352	39.10	1680	45.36	199	56.28	6471	36.96
Pak3	8616	38.92	1635	45.02	508	44.29	6471	36.96
Pak3	8225	38.67	1635	45.02	117	45.30	6471	36.96
Grcc10	568	58.45	381	60.10	107	61.68	78	46.15
Auh	1345	51.45	945	54.71	35	65.71	363	41.32
Pura	1602	67.23	966	65.32	517	77.56	117	37.61
Ptbp2	3364	40.61	1599	43.71	178	73.03	1585	33.82
Bdh1	3133	52.47	1032	54.75	277	65.34	1822	49.23
Bdh1	3114	51.61	1032	54.75	258	55.81	1822	49.23
Spon1	6166	49.72	2424	56.48	330	65.76	3410	43.37
Abi2	4821	43.12	1464	51.09	183	69.95	3172	37.89
Abi2	5892	42.67	1443	50.17	183	69.95	4264	38.95
Abi2	5790	42.49	1341	49.96	183	69.95	4264	38.95
Psmd4	1344	54.76	1140	54.56	80	60.00	122	52.46
Psmd4	1335	54.83	1131	54.64	80	60.00	122	52.46
Abi1	3505	40.74	1446	48.82	175	65.14	1882	32.31
Abi1	3400	40.24	1341	48.17	175	65.14	1882	32.31
Abi1	3226	39.74	1167	47.99	175	65.14	1882	32.31
Abi1	3487	40.69	1428	48.81	175	65.14	1882	32.31
Abi1	3490	40.72	1431	48.85	175	65.14	1882	32.31
Rps4x	885	47.12	792	47.60	5	80.00	86	40.70
Ranbp1	852	51.53	612	49.67	131	77.10	107	30.84
Myh10	7783	51.48	5931	52.23	298	62.75	1552	46.46
Add1	3917	53.51	2208	52.76	219	75.34	1488	51.48
Add1	4047	53.45	1992	51.26	219	75.34	1834	53.22
Add1	3954	53.46	1899	51.18	219	75.34	1834	53.22
Scrg1	700	48.00	297	48.15	215	53.02	186	41.40
Rps21	396	51.52	252	53.57	81	61.73	61	27.87
Bola1	729	57.61	414	63.53	39	58.97	274	48.91
Zfp326	2672	43.41	1743	47.05	114	75.44	813	31.00
Chgb	2733	54.04	2034	53.15	455	65.93	242	38.84
Sptb	10417	56.88	6990	56.85	666	67.57	2759	54.33
Ube2v2	5766	36.47	312	43.27	42	64.29	5410	35.84
Ube2v2	5892	36.39	438	40.18	42	64.29	5410	35.84
Dctn4	3714	45.45	1383	50.83	9	55.56	2320	42.20
Numbl	2733	62.97	1815	63.75	176	80.68	740	56.76
Myl12b	939	49.84	519	54.14	58	60.34	360	41.94
Myl12a	1779	51.04	519	53.56	440	66.14	818	41.32
Srsf2	1903	49.97	666	68.17	164	68.90	1071	35.67
Rasal1	3259	60.72	1854	61.76	822	61.68	581	55.94
Rasal1	3235	60.34	2400	61.08	252	63.10	581	55.94
Actr3	2554	43.97	1257	44.95	206	74.76	1089	37.01
Actr3	2551	43.94	1257	44.95	203	74.88	1089	37.01
Actr3	2746	45.85	1257	44.95	398	72.86	1089	37.01
Hadhb	2092	45.41	1428	46.50	141	60.99	521	38.20
Hadhb	2088	45.35	1428	46.50	137	60.58	521	38.20
Hadhb	2045	45.09	1428	46.50	94	61.70	521	38.20
Mag	2427	57.68	1749	58.38	149	48.99	527	57.69
Arhgdia	2732	56.15	615	53.33	120	67.50	1995	56.29
Lxn	1092	50.64	669	48.58	192	64.58	229	44.98
Bsg	1404	57.62	822	56.33	159	73.58	421	53.92
Bsg	1752	58.90	1170	58.63	159	73.58	421	53.92
Cox17	436	48.39	192	57.81	101	57.43	141	28.37
Rps10	573	55.67	498	56.43	38	73.68	35	25.71
Dlgap4	3631	56.73	1362	58.30	792	60.48	1475	53.22
Dlgap4	2930	56.76	858	60.02	595	60.67	1475	53.22
Dlgap4	4866	59.31	2970	60.67	419	70.88	1475	53.22
Dlgap4	4824	59.35	2928	60.76	419	70.88	1475	53.22
Dlgap4	4875	59.26	2979	60.59	419	70.88	1475	53.22
Ndufb7	533	59.66	414	60.87	60	58.33	57	50.88
Rps19	629	59.94	438	56.16	155	75.48	34	38.24
Ndufb4	454	49.12	390	51.03	8	50.00	54	33.33
Nras	4470	42.62	570	48.77	172	63.37	3726	40.74
Cdc42ep4	2960	57.47	1050	62.00	229	67.25	1679	53.25
Cdc42ep4	3263	57.80	1050	62.00	532	63.72	1679	53.25
Adap1	2418	59.47	1125	57.60	101	86.14	1190	58.91
Tomm70a	3778	42.56	1836	46.68	147	72.11	1793	35.92
Hmgb1	2327	39.84	648	46.45	151	60.93	1526	34.86
Alyref	1132	52.56	768	60.29	26	76.92	336	33.04
Rpl22	2153	49.00	456	48.03	38	52.63	1657	49.19
Rpl22	2223	50.07	270	50.00	157	63.06	1794	48.94
Rpl22	2203	50.07	387	48.32	157	63.06	1657	49.19
Dlgap3	3900	65.31	2934	64.76	295	71.86	669	64.72
Ncs1	4036	53.99	573	52.53	255	83.14	3206	51.93
Grm5	8428	42.87	3516	51.54	717	49.51	4193	34.46
Grm5	8524	42.97	3612	51.55	717	49.51	4193	34.46
Dpp6	4531	51.36	2412	50.66	369	57.45	1748	50.97
Dpp6	4615	51.27	2406	50.46	459	56.64	1748	50.97
Dpp6	4866	52.75	2415	50.56	701	64.62	1748	50.97
Dpp6	4719	52.19	2580	52.44	389	55.78	1748	50.97
